Name,Time Killed,Deaths,Players Killed,Villagers Killed,Pigmen Killed,Ghast Killed,Horses Killed,Seconds Played
1337807,3 days 12 hours 46 minutes 13 seconds,11,0,0,223,0,0,305173
3th1c,5 hours 1 minutes 46 seconds,1,0,0,0,0,0,18106
83cheese83,12 hours 42 minutes 26 seconds,1,0,0,0,0,0,45746
adlindeman,21 minutes 57 seconds,0,0,0,0,0,0,1317
adrianpike,2 hours 44 minutes 40 seconds,0,0,0,0,0,0,9880
Adventure_Goat,1 days 13 hours 59 minutes 52 seconds,4,0,0,2,0,0,136792
AmesSawyer,15 days 21 hours 57 minutes 46 seconds,105,23,15,538,22,6,1375066
Ann3Marie,1 days 15 hours 57 minutes 34 seconds,56,11,0,0,0,0,143854
aquaranto,1 days 13 hours 34 minutes 51 seconds,6,1,0,1,0,1,135291
arghle,1 days 8 hours 29 minutes 3 seconds,3,0,0,0,0,0,116943
AvenHob,1 days 6 hours 2 minutes 9 seconds,12,1,2,340,0,0,108129
BaileyTanner,12 hours 54 minutes 5 seconds,5,0,0,0,0,0,46445
baroquebobcat,1 days 12 hours 52 minutes 18 seconds,14,0,0,0,0,0,132738
beene,1 days 16 hours 57 minutes 37 seconds,14,0,0,0,0,0,147457
benhamill,14 hours 32 minutes 27 seconds,1,0,0,0,0,0,52347
bensawyer,42 days 18 hours 56 minutes 54 seconds,58,3,10,156,340,3,3697014
bentoncreation,14 hours 37 minutes 4 seconds,1,0,0,0,0,0,52624
bigchiefbill,35 minutes 9 seconds,1,0,0,0,0,0,2109
blepoxp,6 hours 27 minutes 46 seconds,0,0,0,0,0,0,23266
boffbowsh,5 hours 28 minutes 45 seconds,7,0,0,0,0,0,19725
BrotherPatch,1 days 8 hours 55 minutes 2 seconds,53,3,1,0,0,0,118502
bubba_nate,1 days 18 hours 1 minutes 0 seconds,19,0,0,2,0,0,151260
cfurrow,1 days 8 hours 15 minutes 6 seconds,0,0,0,0,1,0,116106
ch3_burger,14 minutes 12 seconds,0,0,0,0,0,0,852
chebatron,3 hours 48 minutes 6 seconds,3,0,0,1,0,0,13686
cmluciano,1 hours 6 minutes 15 seconds,3,0,0,0,0,0,3975
CobyR,35 days 18 hours 16 minutes 2 seconds,204,1,0,209,57,24,3089762
coderpath,2 hours 2 minutes 4 seconds,0,0,0,0,0,0,7324
craftynala,23 hours 8 minutes 30 seconds,9,0,0,0,0,0,83310
csexton,4 days 22 hours 59 minutes 30 seconds,32,21,0,54,1,5,428370
cssboy,5 hours 43 minutes 20 seconds,3,0,0,0,0,0,20600
cwage,1 days 16 hours 27 minutes 7 seconds,1,0,0,0,0,0,145627
D1nogon,1 days 4 hours 6 minutes 59 seconds,3,2,0,0,0,0,101219
davefp,1 days 2 hours 53 minutes 5 seconds,7,0,0,2,0,0,96785
dijwalsh,2 hours 28 minutes 5 seconds,0,0,0,0,0,0,8885
dmazin,2 hours 0 minutes 11 seconds,2,0,0,0,0,0,7211
Elicamorza,20 hours 41 minutes 20 seconds,16,2,0,0,0,0,74480
elnewfie,8 minutes 50 seconds,0,0,0,0,0,0,530
ElvaBlueEyes,8 days 3 hours 0 minutes 33 seconds,2,0,0,5,1,0,702033
ericluxury,9 minutes 51 seconds,0,0,0,0,0,0,591
ethansr,10 days 2 hours 33 minutes 26 seconds,23,0,0,4,47,0,873206
Eucharion,31 days 20 hours 12 minutes 22 seconds,9,0,4,44,28,1,2751142
evanphx,4 hours 58 minutes 57 seconds,3,0,0,0,0,0,17937
evsawyer,7 days 10 hours 53 minutes 25 seconds,9,10,0,19,24,3,644005
FashionMiner,20 seconds,0,0,0,0,0,0,20
fillerz0r,21 hours 54 minutes 0 seconds,15,3,3,106,0,0,78840
fishtoaster,50 days 17 hours 32 minutes 0 seconds,11,1,959,742,155,1,4383120
fleahcar,6 minutes 49 seconds,0,0,0,0,0,0,409
flippybug,1 days 9 hours 59 minutes 52 seconds,9,0,0,4,0,0,122392
flyingbeaver,5 hours 57 minutes 11 seconds,10,0,0,0,0,0,21431
freeatnet,1 days 13 hours 40 minutes 5 seconds,5,0,0,0,1,0,135605
freebsification,1 days 20 hours 45 minutes 37 seconds,21,2,0,0,1,0,161137
frith222,2 days 1 hours 41 minutes 14 seconds,0,0,0,0,1,0,178874
Gagemk,30 minutes 59 seconds,4,0,0,0,0,0,1859
Ghostfaces,3 days 12 hours 59 minutes 3 seconds,2,0,0,0,0,1,305943
Girlylb,8 hours 25 minutes 7 seconds,1,0,0,0,0,0,30307
glucopilot,3 hours 20 minutes 22 seconds,8,0,0,0,0,0,12022
Gorgalore,25 days 6 hours 18 minutes 12 seconds,7,3,0,1,9,0,2182692
HazelCatWarrior,23 hours 32 minutes 16 seconds,3,0,0,0,1,0,84736
holly_j,5 days 2 hours 26 minutes 22 seconds,90,14,0,1,0,1,440782
hootyhoostin,3 days 7 hours 33 minutes 43 seconds,1,0,0,0,0,1,286423
Hotman911,13 hours 29 minutes 4 seconds,3,1,0,0,0,0,48544
inthemess,1 days 10 hours 25 minutes 18 seconds,38,0,1,18,1,0,123918
Ipslore,2 days 21 hours 27 minutes 44 seconds,4,0,3,8,0,0,250064
Jack3PO,19 days 20 hours 42 minutes 7 seconds,21,6,4,73,1,1,1716127
jackyalcine,2 hours 9 minutes 48 seconds,6,0,0,0,0,0,7788
jeremiahfelt,7 days 12 hours 7 minutes 48 seconds,5,0,1,3,0,0,648468
jhawthorn,1 days 14 hours 25 minutes 58 seconds,23,0,7,0,0,0,138358
jinx4848,1 minutes 31 seconds,0,0,0,0,0,0,91
joeandaverde,0,0,0,0,0,0,0,0
jonnimont,1 days 18 hours 22 minutes 31 seconds,12,0,0,2,4,0,152551
jowdyboy,10 hours 56 minutes 29 seconds,4,1,0,0,0,0,39389
jrmehle,9 days 13 hours 44 minutes 6 seconds,40,0,0,74,6,0,827046
jsonvorhees,2 hours 18 minutes 31 seconds,0,0,0,0,0,0,8311
jujubee_11,2 hours 35 minutes 5 seconds,1,0,0,0,0,0,9305
jyurek,3 days 8 hours 44 minutes 8 seconds,9,0,0,69,0,0,290648
kalopsian,13 hours 51 minutes 17 seconds,0,0,0,0,0,0,49877
KamiSama_Flowey,57 minutes 17 seconds,0,0,0,0,0,0,3437
KaraokeKid,7 hours 26 minutes 49 seconds,4,1,0,0,0,0,26809
Keeper89,13 hours 3 minutes 25 seconds,2,0,0,0,0,0,47005
keydunov,17 hours 57 minutes 16 seconds,4,0,0,43,0,0,64636
killeanjones,1 hours 54 minutes 24 seconds,1,0,0,2,0,0,6864
king_meff,20 hours 5 minutes 46 seconds,6,2,0,19,1,0,72346
knackee,8 minutes 55 seconds,0,0,0,0,0,0,535
Kobier,8 hours 1 minutes 37 seconds,1,0,0,9,1,0,28897
kokopelli_,3 days 4 hours 38 minutes 16 seconds,11,0,0,0,0,0,275896
Krystallite,87 days 1 hours 12 minutes 36 seconds,73,0,152,792,212,26,7521156
lt_waffle,4 days 15 hours 55 minutes 25 seconds,3,0,0,0,0,0,402925
ltzany,8 minutes 19 seconds,1,0,0,0,0,0,499
luizhdcosta,1 days 21 hours 25 minutes 54 seconds,10,0,0,0,0,0,163554
madisydz,1 days 11 hours 37 minutes 25 seconds,4,0,0,0,0,0,128245
mallioch,23 hours 6 minutes 48 seconds,0,0,0,1,1,0,83208
masav,5 days 16 hours 35 minutes 24 seconds,18,17,0,59,1,1,491724
masoqueso,30 minutes 17 seconds,2,0,0,0,0,0,1817
mathiewossname,4 minutes 34 seconds,0,0,0,0,0,0,274
mattenoble,2 days 4 hours 28 minutes 24 seconds,7,0,0,15,1,0,188904
mcmahoniel,3 hours 16 minutes 31 seconds,1,0,0,0,0,0,11791
McPhage,9 days 3 hours 24 minutes 3 seconds,54,2,0,65,91,0,789843
mdmullen,2 hours 7 minutes 9 seconds,0,0,0,0,0,0,7629
mgorbach,7 minutes 56 seconds,0,0,0,0,0,0,476
Montivagant,4 hours 44 minutes 9 seconds,3,0,0,0,0,0,17049
MrDaddotron,13 hours 27 minutes 30 seconds,2,0,0,0,0,0,48450
mtodd,6 days 3 hours 3 minutes 47 seconds,5,1,0,2,5,0,529427
murkeyzebra,2 days 22 hours 31 minutes 8 seconds,2,0,0,21,2,0,253868
myrridin0,18 minutes 13 seconds,1,0,0,0,0,0,1093
nateberkopec,12 hours 21 minutes 37 seconds,0,0,0,0,0,0,44497
nofeardjb,13 minutes 48 seconds,1,0,0,0,0,0,828
npdoty,2 days 12 hours 57 minutes 41 seconds,7,0,0,0,0,0,219461
nz_,2 days 1 hours 20 minutes 21 seconds,7,0,0,24,0,0,177621
oalicein,12 hours 50 minutes 0 seconds,4,0,0,0,0,0,46200
oblakeerickson,14 hours 56 minutes 56 seconds,3,0,0,0,0,0,53816
Olizam,13 days 10 hours 33 minutes 42 seconds,4,0,1,11,0,0,1161222
owookie,7 days 3 hours 47 minutes 23 seconds,22,1,1,284,25,0,618443
p1agu3,5 days 19 hours 50 minutes 54 seconds,2,0,0,13,1,0,503454
patricksroberts,5 days 5 hours 46 minutes 31 seconds,23,0,30,167,0,0,452791
paulstraw,12 minutes 59 seconds,0,0,0,0,0,0,779
PhilBates,18 days 0 hours 13 minutes 48 seconds,12,0,0,128,227,0,1556028
phr3n3tic,1 days 9 hours 42 minutes 37 seconds,8,0,0,0,0,0,121357
phrederic,1 hours 43 minutes 52 seconds,4,0,0,0,0,0,6232
Platypia,47 minutes 59 seconds,3,0,0,0,0,0,2879
pollodelamuerte,2 hours 9 minutes 26 seconds,0,0,0,0,0,0,7766
popularmmos200,6 hours 20 minutes 59 seconds,3,1,0,0,0,3,22859
potatoman333,21 hours 19 minutes 29 seconds,13,0,0,18,0,0,76769
pwty,2 days 2 hours 1 minutes 28 seconds,15,0,1,1,2,0,180088
pxlpnk,7 hours 19 minutes 32 seconds,8,0,0,8,0,0,26372
qrush,6 days 7 hours 51 minutes 24 seconds,33,1,0,11,13,0,546684
RainLennon,2 days 9 hours 26 minutes 3 seconds,53,22,1,32,3,1,206763
ravenx99,9 hours 3 minutes 19 seconds,0,0,0,0,5,0,32599
Rickenharp,8 minutes 17 seconds,0,0,0,0,0,0,497
rjbs,2 hours 54 minutes 21 seconds,2,0,0,0,0,0,10461
rlmflores,1 days 16 hours 11 minutes 53 seconds,7,0,0,0,0,0,144713
rockajima,2 hours 25 minutes 30 seconds,2,0,0,0,0,0,8730
ryanbates,4 days 14 hours 19 minutes 26 seconds,0,0,1,34,24,0,397166
rymate1234,1 minutes 16 seconds,0,0,0,0,0,0,76
SakuraHorse,2 days 20 hours 22 minutes 52 seconds,3,3,0,5,0,0,246172
samanthaem,1 hours 50 minutes 31 seconds,1,0,0,0,0,0,6631
samullen,1 days 6 hours 33 minutes 22 seconds,1,0,0,1,2,0,110002
seanosaur,1 days 8 hours 1 minutes 24 seconds,13,0,0,9,1,0,115284
sebastienz,1 hours 49 minutes 46 seconds,3,0,0,0,0,0,6586
semafour,2 hours 7 minutes 42 seconds,1,0,0,0,0,0,7662
serenityazlyn,4 hours 49 minutes 11 seconds,3,0,0,0,0,0,17351
shazaam642,58 minutes 31 seconds,1,0,0,0,0,0,3511
shekibobo,9 days 2 hours 51 minutes 54 seconds,16,0,0,4,35,0,787914
Si_Does_MC,4 days 21 hours 30 minutes 21 seconds,87,5,0,21,14,0,423021
sialwh,3 minutes 37 seconds,0,0,0,0,0,0,217
SindoorMan,8 hours 2 minutes 45 seconds,5,0,1,31,0,2,28965
slayerofdragons2,1 hours 45 minutes 3 seconds,7,1,0,0,0,0,6303
sleight42,37 minutes 15 seconds,2,0,0,0,0,0,2235
smalltomsmall,9 hours 10 minutes 52 seconds,10,0,0,0,0,0,33052
sophiaerickson,1 days 12 hours 25 minutes 55 seconds,22,0,0,2,0,0,131155
Spicy_Monkey,8 days 2 hours 0 minutes 27 seconds,24,3,9,90,21,4,698427
stevenmerrill,1 days 6 hours 21 minutes 45 seconds,0,0,0,0,5,0,109305
sunfminecraft,5 minutes 58 seconds,2,0,0,0,0,0,358
tetsujin307,2 hours 43 minutes 14 seconds,0,0,0,0,0,0,9794
the_1_crafter,8 hours 39 minutes 28 seconds,9,0,0,0,0,0,31168
timdiggerm,14 hours 15 minutes 44 seconds,2,0,0,0,0,0,51344
TommyJohn,1 days 3 hours 39 minutes 29 seconds,5,0,0,0,0,0,99569
TooMuchPete,0,0,0,0,0,0,0,0
travisevil,1 days 2 hours 28 minutes 49 seconds,3,0,0,0,0,0,95329
turtlr,4 days 10 hours 49 minutes 31 seconds,1,0,0,0,6,0,384571
Tvrold,5 hours 37 minutes 6 seconds,2,0,0,0,0,0,20226
twe4ked,49 seconds,0,0,0,0,0,0,49
Twirrim,2 hours 57 minutes 17 seconds,0,0,0,0,0,0,10637
